vol_iss_date, pdf_link, cover_loc, iss_loc
"Vol. 10, No. 1, May 19, 1973", https://www.marxists.org/history/usa/pubs/black-panther/09%20no%2011%201-16%20dec%2030%201972.pdf, ./periodicals/black-panther/bpp-covers/09%20no%2011%201-16%20dec%2030%201972_cover.pdf, ./periodicals/black-panther/bpp-issues/09%20no%2011%201-16%20dec%2030%201972.pdf
"Vol. 10, No. 2, May 26, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%201%201-16%20may%2019%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%201%201-16%20may%2019%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%201%201-16%20may%2019%201973.pdf
"Vol. 10, No. 3, June 2, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%202%201-17%20may%2026%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%202%201-17%20may%2026%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%202%201-17%20may%2026%201973.pdf
"Vol. 10, No. 4, June 9, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%203%201-16%20jun%202%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%203%201-16%20jun%202%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%203%201-16%20jun%202%201973.pdf
"Vol. 10, No. 5, June 16, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%204%201-17%20jun%209%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%204%201-17%20jun%209%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%204%201-17%20jun%209%201973.pdf
"Vol. 10, No. 6, June 23, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%205%201-17%20jun%2016%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%205%201-17%20jun%2016%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%205%201-17%20jun%2016%201973.pdf
"Vol. 10, No. 7, June 30, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%206%201-20%20jun%2023%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%206%201-20%20jun%2023%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%206%201-20%20jun%2023%201973.pdf
"Vol. 10, No. 8, July 7, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%207%201-17%20jun%2030%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%207%201-17%20jun%2030%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%207%201-17%20jun%2030%201973.pdf
"Vol. 10, No. 9, July 14, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%208%201-20%20jul%207%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%208%201-20%20jul%207%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%208%201-20%20jul%207%201973.pdf
"Vol. 10, No. 10, July 21, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%209%201-20%20jul%2014%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%209%201-20%20jul%2014%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%209%201-20%20jul%2014%201973.pdf
"Vol. 10, No. 11, July 28, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2010%201-17%20jul%2021%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2010%201-17%20jul%2021%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2010%201-17%20jul%2021%201973.pdf
"Vol. 10, No. 12, August 4, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2011%201-20%20jul%2028%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2011%201-20%20jul%2028%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2011%201-20%20jul%2028%201973.pdf
"Vol. 10, No. 13, August 11, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2012%201-20%20aug%204%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2012%201-20%20aug%204%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2012%201-20%20aug%204%201973.pdf
"Vol. 10, No. 14, August 18, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2013%201-20%20aug%2011%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2013%201-20%20aug%2011%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2013%201-20%20aug%2011%201973.pdf
"Vol. 10, No. 15, August 25, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2014%201-20%20aug%2018%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2014%201-20%20aug%2018%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2014%201-20%20aug%2018%201973.pdf
"Vol. 10, No. 16, September 1, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2015%201-20%20aug%2025%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2015%201-20%20aug%2025%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2015%201-20%20aug%2025%201973.pdf
"Vol. 10, No. 17, September 8, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2016%201-20%20sep%201%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2016%201-20%20sep%201%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2016%201-20%20sep%201%201973.pdf
"Vol. 10, No. 18, September 15, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2017%201-19%20sep%208%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2017%201-19%20sep%208%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2017%201-19%20sep%208%201973.pdf
"Vol. 10, No. 19, September 22, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2018%201-19%20sep%2015%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2018%201-19%20sep%2015%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2018%201-19%20sep%2015%201973.pdf
