vol_iss_date, pdf_link, cover_loc, iss_loc
" Vol. 4, No. 6, March 16-29 1973", https://www.marxists.org/history/erol/periodicals/getting-together/gt-4-6.pdf, ./periodicals/getting-together/gt-covers/gt-4-6_cover.pdf, ./periodicals/getting-together/gt-issues/gt-4-6.pdf
" Vol. VII, No. 2, June-July 1976", https://www.marxists.org/history/erol/periodicals/getting-together/gt-7-2.pdf, ./periodicals/getting-together/gt-covers/gt-7-2_cover.pdf, ./periodicals/getting-together/gt-issues/gt-7-2.pdf
" Vol. VIII, No. 11, November 1977", https://www.marxists.org/history/erol/periodicals/getting-together/gt-8-11a.pdf, ./periodicals/getting-together/gt-covers/gt-8-11a_cover.pdf, ./periodicals/getting-together/gt-issues/gt-8-11a.pdf
" Vol. IX, No. 2, February 1978", https://www.marxists.org/history/erol/periodicals/getting-together/gt-9-2a.pdf, ./periodicals/getting-together/gt-covers/gt-9-2a_cover.pdf, ./periodicals/getting-together/gt-issues/gt-9-2a.pdf
" Vol. IX, No. 6, June 1978", https://www.marxists.org/history/erol/periodicals/getting-together/gt-9-6a.pdf, ./periodicals/getting-together/gt-covers/gt-9-6a_cover.pdf, ./periodicals/getting-together/gt-issues/gt-9-6a.pdf
